Time	ID	Name	Location	Retweet_time	Tweet
2018-05-07 14:26:50	1358190918	VIP Brazil Tours	Brasil Carnaval Mar-01-06-2019	0	dallas says it has a plan to resolve southwest delta fight for love field gates AT_USER _URL _URL
2018-05-07 14:20:33	169242671	Dimp C	Jacksonville	0	i need all these airlines especially delta to get it together in the next month mmkay 
2018-05-07 14:14:50	873334105160663041	Ty Waters	Vancouver, WA	0	expect air travel delays today at cvg mia travel safely boycott delta airlines _URL
2018-05-07 14:02:41	2985644794	some rocking twink	19 | he/him | saami	0	school we have to have access to your dormroom at 7am to fix the windows tomorrow even though you re sick with a f _URL
2018-05-07 13:56:51	38223668	Jody Lingle	ATL	0	and we re off again not sure what was up at atl but get here early if you re flying today traveling to san _URL
2018-05-07 13:40:05	237411259	Duwan Morris		0	i missed my flight yesterday due to a medical emergency i showed up at the airport today to change my flight and w _URL
2018-05-07 13:32:24	2183591324	YΛ BӨY		0	rip to delta airlines 
2018-05-07 13:27:24	246593500	Hales❤		0	delta airlines is a fucking joke
2018-05-07 13:26:06	221266650	Reema Amin	Hampton Roads, VA	1	rt AT_USER not too many big airlines left out there orf already has american united delta southwest allegiant perhaps a sm 
2018-05-07 13:18:51	713531054074830848	Zesty Health News		0	dallas says it has a plan to resolve southwest delta fight for love field gates _URL _URL
2018-05-07 13:18:08	17528931	Jordan Pascale	Norfolk, VA	1	 not too many big airlines left out there orf already has american united delta southwest allegiant per _URL
2018-05-07 13:02:41	17754068	realzil	Mississippi	0	i m at AT_USER airlines ticket counter in memphis tn _URL
2018-05-07 12:48:10	544416374	Barbara Walker-Green	Houston, TX	0	dallas says it has a plan to resolve southwest delta fight for love field gates dallas news _URL
2018-05-07 12:40:10	408002039	SANDALIO CARMONA	miami	0	dallas says it has a plan to resolve southwest delta fight for love field gates _URL via _URL
2018-05-07 12:35:12	3901443494	Everyday Australia		0	dallas says it has a plan to resolve southwest delta fight for love field gates _URL
2018-05-07 12:26:07	3085970045	社会人型えんちぁ@IF復帰		0	5 5 part2 5 cathay pacific b777 367 b hnk spirit of hong kong library _URL md 11f _URL
2018-05-07 12:24:37	5920532	Delta	Global	0	AT_USER the confirmation number for seaborne airlines is abgc7p tdh
2018-05-07 12:23:17	1949763854	DMN Business	Dallas, Texas	0	dallas says it has a plan to resolve southwest delta fight for love field gates _URL _URL
2018-05-07 12:20:16	2832021860	Wylie H Dallas	Dallas, Texas	0	after failing to develop love field gate allocation plan dallas now says it has a plan to resolve the southwest de _URL
2018-05-07 12:20:07	2832021860	Wylie H Dallas	Dallas, Texas	0	after failing to develop love field gate allocation plan dallas now says it has a plan to resolve the southwest de _URL
2018-05-07 12:18:17	1257530305	Matt		0	dallas says it has a plan to resolve southwest delta fight for love field gates dallas news _URL
2018-05-07 12:16:05	589676113	Doug Kempf		0	dallas says it has a plan to resolve southwest delta fight for love field gates _URL
2018-05-07 12:14:50	393764837	Karym Casas	Miami-Bogota-Cartagena-Orlando	0	miami school s playground gets a complete makeover thanks to delta airlines _URL _URL
2018-05-07 12:13:15	5920532	Delta	Global	0	AT_USER hello selma thanks for tweeting i apologize as i am not seeing any direct flights on delta air fran _URL
2018-05-07 12:08:02	14345404	Geoff Love	Evergreen, Co.	0	dallas says it has a plan to resolve southwest delta fight for love field gates _URL via _URL
2018-05-07 11:50:43	127361414	SL.	I r e l a n d 	0	AT_USER AT_USER AT_USER my checked bags with air asia was dearer than the actual flight rest of airlines a _URL
2018-05-07 11:43:56	984152444	Paul Harrington		0	dallas says it has a plan to resolve southwest delta fight for love field gates dallas news _URL
2018-05-07 11:40:46	156627113	🌹 Nicky 🌹	earth	0	yoooo american airlines domestic is shitting on delta i upgraded but i didn t realize the regular economy is bette _URL
2018-05-07 11:36:05	989469390155501569	Peter Howlett	Cardiff, Wales	5	adds something to the underside when airlines put their names there delta a330 n824nw fl390 atl cdg alitalia a330 _URL
2018-05-07 11:34:58	213548672	Dallas NewsChannel	Dallas, TX	0	dallas news dallas says it has a plan to resolve southwest delta fight for love field gates dallas news _URL
2018-05-07 11:32:38	855356208965746688	parker	West Coast	0	the city of dallas has proposed a new plan for divvying up limited gate space at love field that could serve as a j _URL
2018-05-07 11:30:57	1947087564	What Is The Forex	Paris	0	dallas says it has a plan to resolve southwest delta fight for love field gates dallas news _URL
2018-05-07 10:59:11	436792718	Breaking News Home	United States	0	new post dallas says it has a plan to resolve southwest delta fight for love field gates southwest airlines has _URL
2018-05-07 10:46:17	209492408	Isaac ✈ Alexander	Greater Seattle, Washington	0	dallas says it has a plan to resolve southwest delta fight for love field gates _URL
2018-05-07 10:46:14	730841085929525249	Weekly Journal	New York, NY	0	dallas says it has a plan to resolve southwest delta fight for love field gates _URL
2018-05-07 10:43:27	1573191368	Allnewsnetworks Biz		0	dallas says it has a plan to resolve southwest delta fight for love field gates _URL
2018-05-07 09:46:08	3343065298	Brian Brewer		0	AT_USER sucks i m in zone 1 and they never have enough overhead storage other airlines manage this but not them _URL
2018-05-07 09:39:42	1633199065	ultramatt4162	newark	2	rt AT_USER flying business class on lufthansa amd united on this european trip makes me really miss delta airlines 
2018-05-07 09:37:22	38583339	Gloria Bohan	Fairfax, VA	2	delta airlines in venice airport seeks to help great idea thanks delta _URL
2018-05-07 09:04:31	2236873842	Dom (ง︡’-‘︠)ง	Richmond, VA	0	ma so my flight is delta so drop me off there my sleep deprived brain because we re delta airlines and life is a fucking nightmare 
2018-05-07 08:04:44	2894820520	TheTravelhouse Kenya	Nairobi, Kenya.	0	the travel house limited 254 722 757 628 recommending that you ask for special services e g wheelchair meals seat _URL
2018-05-07 07:57:02	347633853	Global News Center	Miami, FL	0	 femail couple who fell in love flying throw a delta airlines themed wedding bess woh _URL _URL
2018-05-07 07:56:01	583190908	Planetnews.space	United Kingdom	0	 femail couple who fell in love flying throw a delta airlines themed wedding bess woh _URL _URL
2018-05-07 07:06:53	67438577	Julia Waneka	San Francisco, CA	0	if someone would let me roll over my alaska airlines points to their frequent flyer program i would do it so fast _URL
2018-05-07 06:11:11	3239203002	WHAT'S INSIDE?		2	flying business class on lufthansa amd united on this european trip makes me really miss delta airlines 
2018-05-07 05:55:06	842652504	Kevin Lansberry		0	very poor service by delta airlines tonight arrived at lax from orlando only to be forced into an interminable w _URL
2018-05-07 04:43:19	272129315	Courtney Thurston	~ N Y C ~	0	AT_USER is one of the worst airlines to exist after today i will not be booking through them i recommend everyone do the same 
2018-05-07 04:11:08	1224891	Jeremy Kelley	Leander, Texas	0	delta airlines ugh amiright 
2018-05-07 03:57:27	277455620	SB		0	AT_USER AT_USER delta can kiss my ass enjoy the loss in business what low class and poor customer service wh _URL
2018-05-07 03:54:20	924573889	Vann T	México	1	rt AT_USER kenny g plays charity concert aboard delta airlines flight video _URL travel _URL
2018-05-07 03:53:48	464206700	Travel Tweets from Everybody Hates A Tourist	Earth, probably	1	kenny g plays charity concert aboard delta airlines flight video _URL travel _URL
2018-05-07 03:43:41	5920532	Delta	Global	0	AT_USER hello magdalena i apologize for the inconvenience however delta has nothing to do with tsa or clear th _URL
2018-05-07 03:39:49	717360080232906752	MagLoader	Colorado Springs, CO	1	rt AT_USER AT_USER the shooting range down the street from where i live black rifle coffee which is really great by 
2018-05-07 03:20:08	3071502391	Dan Silver	Taipei, Taiwan	0	AT_USER from delta airlines site _URL
2018-05-07 03:17:03	1721113224	RJIndori	Tempe, AZ	0	having a horrible experience working with AT_USER airlines they create a problem when you try to work with them th _URL
2018-05-07 03:06:12	140082086	Mark Hodges	Indianapolis, IN	0	with the newest AT_USER revelations and the ongoing nightmares at AT_USER it seems that the real solution is to _URL
2018-05-07 02:32:24	3146355365	CC Lady	Working at the wildlife rehab center  Pennsylvania	0	AT_USER here are sites where u can see small chihuahua mix dogs working as service dog _URL _URL
2018-05-07 02:17:56	133914169	Not the Official WH		0	reminds me of the story of delta airlines miracle flights to florida where older folks need wheelchairs to get on _URL
2018-05-07 02:10:28	24605052	victoria mendez	florida	0	1hr to board my next flight 3 hours before i get home zombie status has officially taken over my body can t wai _URL
2018-05-07 02:02:33	453113206	KERRY K DOWNS	on the ground	0	check out 7 junior astronaut pilot delta braniff airlines hat cap patch aviation set lot _URL via AT_USER
2018-05-07 01:55:11	1449153944	Aidan Connolly	Lexington, Kentucky, US	0	showing the love from AT_USER 360 team still the no 1 frequent flyer program in the air AT_USER AT_USER _URL
2018-05-07 01:47:10	22710863	MATTY	Northwest	0	anyone on here have a hookup or plug at delta or alaska airlines 
2018-05-07 01:27:32	808549201156022273	Matty Tingles	Portland, OR	0	anyone on here have a hookup or plug at delta or alaska airlines 
2018-05-07 01:26:33	453113206	KERRY K DOWNS	on the ground	0	check out 8 delta airlines junior pilot wings unaccompanied asheville button ad patch lot _URL via AT_USER
2018-05-07 01:10:07	213761901	Belize Hub	Belize	1	with airfare to belize getting cheaper all the time thanks to increased competition from major airlines like southw _URL
2018-05-07 01:07:27	1859214278	#avgeek	Read our daily updates at:	1	rt AT_USER _URL AT_USER should do a deal just not w AT_USER usa uk flyers do not need ba 
2018-05-07 01:04:42	2365160321	Howard Miller	New York, NY	1	_URL AT_USER should do a deal just not w AT_USER usa uk flyers do not n _URL
2018-05-07 01:02:04	196388521	Scott Monett	McLean, VA	0	why can t you take food across international borders _URL
2018-05-07 00:48:04	269375157	carlos lamarche	New York City	0	AT_USER you are a abuse of power i both my ticket 2 month ago you over book your flight and because i got my f _URL
2018-05-07 00:32:12	453113206	KERRY K DOWNS	on the ground	0	check out 8 hooters air delta valujet usair twa airlines junior jr pilot wings pin set lot _URL via AT_USER
2018-05-07 00:23:09	1859214278	#avgeek	Read our daily updates at:	1	rt AT_USER was AT_USER secretly fighting a commercial airport in paulding county _URL while the outcome is still n 
2018-05-07 00:21:15	2365160321	Howard Miller	New York, NY	1	was AT_USER secretly fighting a commercial airport in paulding county _URL while the outcome is _URL
2018-05-07 00:14:51	3133779798	Rodney Domer		0	all i can say is f k delta airlines 
2018-05-06 23:44:38	738568400520151042	Bozena Wojciechowski		0	AT_USER we americans have to boycott our american airlines including united delta southwest for bad co _URL
2018-05-06 23:32:59	261941806	Point Hacks	Australia	0	case study how air tahiti nui delta and japan airlines compare in business class part 3 _URL
2018-05-06 23:31:13	801687289822900224	Pharohscat	Anonfamily	1	rt AT_USER sorry i don t do governors elections i do senators elections i expose republican senators thus far i have agreed to step 
2018-05-06 23:16:01	2887894428	a puero jupiter	fucking tartarus	2	rt AT_USER y know that john mulaney skit where he just accepts terrible treatment at delta airlines that s me but with earbuds i ll 
2018-05-06 23:14:27	38931262	QuietSkiesSEA 🇨🇦 🇺🇸 🌎		0	 AT_USER airlines fly over port of tacoma instead of our homes AT_USER AT_USER quietskies _URL
2018-05-06 23:07:19	3512215513	Away	New York, NY	0	AT_USER 1 2 so sorry to hear about your trouble at the airport iata policy adopted by all airlines besid _URL
2018-05-06 22:57:09	2465254284	PJS	Vero Beach, Fl	0	AT_USER AT_USER AT_USER funny they were flying on killary suicide airlines 
2018-05-06 22:49:16	2377717393	Ken Pearson	Texas	0	AT_USER AT_USER AT_USER is fascism like when the republican governor chose to penalize delta airlin _URL
2018-05-06 22:43:45	38931262	QuietSkiesSEA 🇨🇦 🇺🇸 🌎		0	 AT_USER airlines fly over port of tacoma instead of our homes AT_USER AT_USER quietskies _URL
2018-05-06 22:43:30	384006324	DJ Curt.	Everywhere	0	at atlanta international airport delta airlines _URL
2018-05-06 22:39:57	321404785	King Javi	Miami|SouthBend	0	i feel so bad cheating on american airlines but delta had it for the low and i was in a pinch but come on delta _URL
2018-05-06 22:38:01	1012400264	Travis knghi		0	i liked a AT_USER video _URL delta airlines b737 900er takeoff from atlanta airport rain l x plane 11
2018-05-06 22:35:34	453113206	KERRY K DOWNS	on the ground	0	check out 8 delta airlines united way oasis lapel hat pin junior jr pilot wings button lot _URL via AT_USER
2018-05-06 22:35:13	991068784499752960	kung fu kenny	Brasil	0	c rebro voz de john mulaney because we re delta airlines and life is a fucking nightmare
2018-05-06 22:34:36	258186817	Carlos Sarmiento	Orlando, Florida	0	i m headed to dallas for a few days thank you delta airlines for the _URL
2018-05-06 22:31:42	41000792	Matt Nuthals	Golf HQ, Carlsbad	0	when at atl airport atlanta international airport delta airlines _URL
2018-05-06 22:13:31	29182350	That Fierce Queen Ms.Cruz™🇺🇸	Go HATE Elsewhere!	0	AT_USER as a delta pilot at AT_USER airlines benefit for the AT_USER in atlanta latin all star _URL
2018-05-06 22:10:57	29182350	That Fierce Queen Ms.Cruz™🇺🇸	Go HATE Elsewhere!	0	AT_USER as a delta pilot at AT_USER airlines benefit for the AT_USER in atlanta latin all star _URL
2018-05-06 22:10:29	3145223149	United Black Nations	African Diaspora 	197	rt AT_USER two black female pilots made history flying together and the photos are everything _URL blackgirlmagic ht 
2018-05-06 21:57:23	873334105160663041	Ty Waters	Vancouver, WA	0	expect air travel delays today at sfo lax las phx dtw mia travel safely on your preferred boycott carrier of choic _URL
2018-05-06 21:43:41	1263056425	alexandra	908	1	rt AT_USER what s up delta airlines what s your tea 
2018-05-06 21:24:07	3145223149	United Black Nations	African Diaspora 	69	rt AT_USER internationalwomensday these black female pilots just made history with delta airlines blackgirlmagic _URL
2018-05-06 21:14:03	873334105160663041	Ty Waters	Vancouver, WA	0	boycott delta airlines _URL
2018-05-06 21:11:56	4856864053	sad squish	garbage can	0	anytime i semi tweet at delta airlines i get a thirst follow from someone what is happening is he like famous or some shit
2018-05-06 21:07:03	873334105160663041	Ty Waters	Vancouver, WA	0	boycott delta airlines _URL
2018-05-06 21:00:07	873334105160663041	Ty Waters	Vancouver, WA	0	boycott delta airlines this playoff season _URL
2018-05-06 20:54:42	337956818	téa alexandria	hell	1	what s up delta airlines what s your tea 
2018-05-06 20:50:42	873334105160663041	Ty Waters	Vancouver, WA	0	boycott delta airlines _URL
2018-05-06 20:44:22	873334105160663041	Ty Waters	Vancouver, WA	0	boycott delta airlines _URL
2018-05-06 20:28:15	2934841552	Mark Paley, MBA	New York, NY	1	rt AT_USER AT_USER due to deltaairlines computerglitch i can t be added to the comfortplus upgradelist amp gateagent jerry won t h 
2018-05-06 20:23:55	2934841552	Mark Paley, MBA	New York, NY	1	AT_USER due to deltaairlines computerglitch i can t be added to the comfortplus upgradelist amp gateagent jerry w _URL
2018-05-06 20:21:33	75445471	Mark Alan Taylor	College Station, TX	0	an apology won t cut it this time delta this is terrible my heart goes out to this family for the nightmare del _URL
2018-05-06 19:54:57	3663038183	The Pilot Liberator	#PilotShortage	5	rt AT_USER it wasn t a secret AT_USER was not only against the kpuj airport expansion near atlanta they sent cease and desist ord 
2018-05-06 19:46:21	32766586	Wildaseel	San Diego area	0	no more flying for me on delta airlines not happy with AT_USER will go with other airlines next time medical reaso _URL
2018-05-06 19:44:17	854476723630559232	The Nerdy Traveler 🤓	North Carolina, USA	0	AT_USER that can definitely be a problem i always save my frequent flier miles and points for ta cruises i _URL
2018-05-06 19:35:55	4179833086	appalled & outraged	Brooklyn, New York	0	AT_USER why is that i paid 500 to change my fight to an earlier flight to 2134 to new york out of fort lauderdale a _URL
2018-05-06 19:11:43	948748639467458561	The Flying Brick		1	AT_USER the shooting range down the street from where i live black rifle coffee which is really great _URL
2018-05-06 19:06:00	558247269	🌊m i l l s.⚡️	Photoshop	0	so now there s a guy tweeting out that i m trying to bomb delta airlines like a sick fuck 
2018-05-06 18:23:13	5920532	Delta	Global	0	AT_USER hello joe this is going to go by china airlines baggage policy since they are the operating carrier over _URL
2018-05-06 18:13:22	284267768	Shelley Belly	Camas Washington	0	AT_USER airlines needs to staff their pdx counter better if they want their passengers to drop off bags to catch their flights on time 
2018-05-06 17:57:32	275904140	Norah Jaffan	Irvine, CA	0	AT_USER 5 hour flight and it s frozen seriously time to change airlines _URL
2018-05-06 17:50:41	25654970	Thomas Sturm	San Francisco Bay Area	1	rt AT_USER oh hey air france is on strike and my delta airlines flight turns out to be operated by air france so i m sure everything is fin 
2018-05-06 17:16:42	749292230385475589	sang 🤠✌🏼		2	y know that john mulaney skit where he just accepts terrible treatment at delta airlines that s me but with earbud _URL
2018-05-06 17:02:38	203143627	Pierre Reginald	Port au Prince	0	AT_USER AT_USER the cleanest airlines flying to haiti congratulation guys
2018-05-06 17:00:03	256596589	King Charles Inn	Charleston, SC	0	your getaway to charleston is just a short flight away airlines such as AT_USER AT_USER AT_USER and AT_USER _URL
2018-05-06 16:42:21	725177110420135936	Kati Fab 🌻	Fredericksburg, VA	0	nothing kills me more than having to talk to a robot than an actual person when calling companies such as comcast or delta airlines 
2018-05-06 16:42:14	53657550	Aaron Arnold	Brooklyn, NY	0	hey AT_USER i just had the worst customer service experience of my life at your ticket counter in den ended up reb _URL
2018-05-06 16:31:36	392221003	Richard Gillia		3137	rt AT_USER companies that i m boycotting because they boycotted the nra alamo avis bestwestern delta airlines enterprise he 
2018-05-06 16:12:29	873850373261406208	Brian Keith O'Hara	Marietta, GA	0	AT_USER AT_USER attacked our AT_USER airlines because it abolished nra discount used by 8 people last year s _URL
2018-05-06 15:54:58	345747741	tsuwu	the bottom of the well	0	u can do anything u want whenever u want don t let delta airlines employee 282738 hold u back from ur dreams of aviation and pyrotechnics
2018-05-06 15:49:42	309733593	ʍılsou  dǝɹǝz	Batangas City, Calabarzon	12	rt AT_USER is it worth letting go of things or people in your life who do nothing but drag you down or limit your success yes it i 
2018-05-06 15:34:56	276692782	FeliciaRenae☺️		0	i m soooooo upset with AT_USER airlines 
2018-05-06 15:34:03	3146355365	CC Lady	Working at the wildlife rehab center  Pennsylvania	0	a service dog can be a small dog see a small trained hearing dog here _URL southwestair _URL
2018-05-06 14:58:35	873850373261406208	Brian Keith O'Hara	Marietta, GA	0	AT_USER AT_USER AT_USER AT_USER AT_USER AT_USER AT_USER AT_USER attacked our AT_USER air _URL
2018-05-06 14:57:53	942256466760749056	n o n  C  h a l a n t	Grambling, LA	0	i just bought these bags two days ago delta airlines got one more time to break rip or tear my luggage 
2018-05-06 14:52:52	735273822	Tammie Painter	Oregon, USA	0	i have to say misha at AT_USER airlines phone in customer service was a superstar yesterday helping me out 
2018-05-06 14:32:30	1653205716	Don_Gazz	Katsina	2	rt AT_USER delta airlines contract has a specific line allowing each passenger from hawaii to carry one box or bag of pineapples 
2018-05-06 14:31:29	151723256	Chuck 📷	San Diego | Houston	0	AT_USER i haven t flown delta in a while but i ve heard similar announcements recently on other airlines _URL
2018-05-06 14:07:50	31039396	S.C.J	Midtown	0	completely over AT_USER airlines at this point beyond annoyed amp pissed
2018-05-06 13:59:25	255090268	Adam Ramsay Jourdan	Shanghai, China	2	rt AT_USER first official criticism from another government since january when china began asking firms such as delta airlines qantas 
2018-05-06 13:43:36	58021693	Ko.	CHI•ATL	0	speaking of airlines best airlines 1 alaska especially since they bought virgin america rip 2 delta southw _URL
2018-05-06 13:22:31	920689316162097154	Ralph Nerette	Miami, FL	0	delta airlines built an accessible playground for this miami school _URL _URL
2018-05-06 13:10:11	20887971	Swype LeFleur™	NC | GA 	0	AT_USER it s ludacris i pack more nuts than delta airlines 
2018-05-06 12:00:54	2904577324	Gawd	lost in time 	0	AT_USER AT_USER in fairness american and delta airlines are worse 
